sneaker_name,sneaker_brand,collaboration,collaboration_name,sneaker_slug,sneaker_color,data.category,discount_tag,box_condition,product_condition,retail_price_eur,lowest_price_eur,instant_ship_lowest_price_eur,gp_lowest_price_eur,gp_instant_ship_lowest_price_eur,release_year,release_month,release_day
Wmns Air Max Bliss 'Sea Coral',Nike,0,No,wmns-air-max-bliss-sea-coral-dz6754-800,pink,shoes,under_retail,good_condition,new_no_defects,140.0,100.0,117.3968811035,126.74,154.3663482666,2023,3,21
Air Jordan 1 High Zoom Comfort 2 'Día De Muertos',Nike,0,No,air-jordan-1-high-zoom-comfort-2-familia-fq8155-010,cream,shoes,under_retail,good_condition,new_no_defects,165.0,153.0,232.0,209.83,325.17,2023,10,21
Wmns Zoom Shift 'White Metallic Silver',Nike,0,No,wmns-zoom-shift-white-metallic-silver-917731-100,white,shoes,over_retail,no_original_box,used,99.3594181775,35.0,38.0844802856,63.74,104.0994415283,2021,6,15
Wmns Renew Run 2 'Bright Mango',Nike,0,No,wmns-renew-run-2-bright-mango-cu3505-600,pink,shoes,over_retail,good_condition,new_no_defects,114.1366964737,139.0,152.537979126,232.36,278.6720581055,2021,7,15
Vandal High Leather 'Orange Obsidian',Nike,0,No,vandal-high-leather-orange-obsidian-309427-181,white,shoes,over_retail,good_condition,new_no_defects,75.0,600.0,627.4396972656,802.1,712.1193237305,2021,6,15
Wmns 696 'Grey',Nike,0,No,wmns-696-grey-wl696wpg,grey,shoes,over_retail,no_original_box,used,80.0,60.0,74.4434585571,93.74,102.4113388062,2021,7,15
Free Run+ 'Electric Green',Nike,0,No,free-run-electric-green-395912-004,green,shoes,over_retail,good_condition,new_no_defects,109.8310096748,150.0,193.5370025635,237.98,287.3116149902,2021,7,15
Wmns Air Max DN 'Metallic Gold',Nike,0,No,wmns-air-max-dn-metallic-gold-hj9638-700,gold,shoes,under_retail,good_condition,new_no_defects,160.0,144.0,160.2755279541,237.98,260.5653686523,2021,7,15
Air Max Pulse 'Black University Gold',Nike,0,No,air-max-pulse-black-university-gold-fz4619-001,black,shoes,over_retail,good_condition,new_no_defects,150.0,150.0,228.1101989746,233.77,307.8784484863,2024,2,8
Free OG SP 'Genealogy of Free',Nike,0,No,free-og-sp-genealogy-of-free-677735-009,black,shoes,over_retail,missing_lid,new_no_defects,115.0,658.0,615.9014892578,877.27,864.0974731445,2014,7,31
Air Versitile 3 'Black Metallic Gold',Nike,0,No,air-versitile-3-black-metallic-gold-ao4430-005,black,shoes,over_retail,good_condition,new_no_defects,106.1761873035,97.0,100.9242935181,145.34,233.4520568848,2021,7,15
Air Max LTD 3 'White Volt',Nike,0,No,air-max-ltd-3-white-volt-cz7554-100,white,shoes,over_retail,good_condition,new_no_defects,115.6520333379,168.0,206.8978271484,208.34,202.8656311035,2021,6,15
Wmns Flex Trainer 7 'Stealth Pink',Nike,0,No,wmns-flex-trainer-7-stealth-pink-898479-006,grey,shoes,over_retail,good_condition,new_no_defects,122.8616103685,535.0,529.3425292969,787.88,742.770324707,2017,7,1
Air Max 90 'Black Smoke Grey Gum',Nike,0,No,air-max-90-black-smoke-grey-gum-fv0387-001,black,shoes,over_retail,good_condition,new_no_defects,130.0,188.0,220.9919128418,232.34,292.5291442871,2023,10,18
Lunar Flow PRM NSW NRG,Nike,0,No,525284-100-nike,brown,shoes,over_retail,good_condition,used,106.4383079441,100.0,179.4507293701,141.74,142.1934814453,2021,7,15
Wmns Air Max 2015 'Noble Purple',Nike,0,No,wmns-air-max-2015-noble-purple-698903-501,purple,shoes,over_retail,no_original_box,used,107.7503612844,90.0,108.5074768066,129.74,145.48878479,2021,7,15
Dunk Low 'Sanddrift Armory Blue',Nike,0,No,dunk-low-sanddrift-armory-blue-hf0106-100,tan,shoes,under_retail,good_condition,new_no_defects,135.0,83.0,93.0,121.34,133.34,2024,2,1
Air Trainer SC High SOA 'Speed Red',Nike,0,No,air-trainer-sc-high-soa-aq5098-600,black,shoes,over_retail,good_condition,new_no_defects,130.0,275.0,361.6438598633,380.9,457.3962097168,2018,5,1
Match Supreme Leather 'Black',Supreme,1,Supreme,match-supreme-leather-black-631656-020,black,shoes,over_retail,good_condition,new_no_defects,70.0,79.0,86.1811218262,116.54,142.8941650391,2021,7,15
Wmns Air Rift Breathe 'Black White',Nike,0,No,wmns-air-rift-breathe-black-white-dn1338-003,black,shoes,under_retail,good_condition,new_no_defects,105.0,59.0,64.0,103.34,129.74,2021,7,15
Zoom Veer,Nike,0,No,zoom-veer-844675-100,white,shoes,over_retail,good_condition,new_no_defects,115.989065146,240.0,275.1607971191,374.05,353.2347106934,2021,6,15
Air Jordan 3 Retro PS 'Cement Grey',Nike,0,No,air-jordan-3-retro-ps-cement-grey-dm0966-106,white,shoes,under_retail,good_condition,new_no_defects,90.0,45.0,49.0,75.74,80.54,2024,8,31
Wmns Juvenate 'Black White',Nike,0,No,wmns-juvenate-724979-009,black,shoes,under_retail,good_condition,new_no_defects,85.0,51.0,66.4724731445,90.14,109.9150772095,2021,7,15
Air Trainer SC High 'Pink Quartz',Nike,0,No,air-trainer-sc-high-pink-quartz-cu6672-100,pink,shoes,over_retail,good_condition,new_no_defects,130.0,431.0,1798.5034179688,592.15,837.1972045898,2020,1,1
